F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Target1,Target2,Target3,Target4,Target5
52.9,1.33,49.1,37.13,129.43,35,0.281,112.7,207,0.55,98.971,2.87,1362,15.9,429,0.959,1.531,79.3,4.19,33.29
87.6,2.12,48.8,42.1,171.07,37.6,0.153,157.4,188,0.86,101.179,2.34,5130,26.1,1819,0.728,1.69,57.2,5.19,34.5
73.3,2.72,93.8,20.11,163.69,44.3,0.367,348.7,270,1.87,98.919,2.13,7811,16.7,1763,0.784,1.865,61.6,7.77,129.28
65.6,2.58,48.1,35.11,63.37,32.5,0.279,321.2,322,1.75,101.56,2.91,1641,32.1,203,0.884,1.92,71.3,8.4,186.65
39.6,2.58,49.3,32.93,63.4,47,0.149,205.6,203,1.55,98.148,1.93,7648,27.5,276,0.736,1.711,58.5,4.75,52.32
39,2.29,84.8,41.49,83.8,27.4,0.393,215.6,298,1.56,99.306,1.71,7740,18.2,1718,0.898,1.245,71.2,3.83,71.1
32.8,2.4,62,45.58,98.89,43.6,0.25,261.6,328,1.65,98.866,2.94,587,15.4,797,0.948,1.974,78.7,7.01,156.4
81.7,2.71,81,10.67,103.17,46.5,0.121,99.1,353,1.92,97.876,1.91,185,15.9,338,0.869,0.72,72.5,9.49,21.81
66.3,1.5,34.5,37.77,146,29.9,0.285,171.7,325,1.75,95.707,2.84,9659,25.1,1001,0.816,1.961,66.3,3.45,92.88
69.4,1.97,63.9,11.97,51.15,35.6,0.179,165.7,51,1.43,100.781,1.78,2002,29.5,832,0.838,0.489,66.9,8.37,3.49
31.5,1.54,32.8,31.34,45.31,30,0.346,169.2,137,1.5,98.704,2.55,8445,17.7,440,0.879,1.084,73.8,5.73,23.28
89.9,3.07,35.2,21.81,105.77,44,0.349,336.7,336,0.83,99.435,2.4,5630,18.9,1455,0.914,1.651,72.1,8.26,167.93
79.4,2.94,93,22.39,152.24,38.5,0.389,184.4,179,1.49,99.698,3,2790,20.6,1269,0.889,0.799,69.3,5.96,22.53
42.5,1.05,38.8,24.06,72.5,41.6,0.257,160.7,127,1.15,97.041,2.33,1266,19.5,198,0.866,0.61,66.8,5.01,10.7
40.3,2.41,67.7,35.45,144.42,28.9,0.237,260.4,309,0.7,99.177,1.51,4943,23.3,1846,0.974,0.982,78.6,7.29,73.76
40.9,2.89,57.9,22.81,81.85,30.9,0.329,366.1,290,1.7,96.418,2.43,4169,27.1,1123,0.776,0.915,65.4,9.3,74.77
47.7,1.38,53.7,40.22,182.35,26.8,0.145,170.4,190,1.28,99.046,1.77,6995,28.8,496,0.81,1.176,66.2,4.57,31.21
63.3,2.19,97.4,25.39,178.76,32.4,0.268,119.2,277,1.98,102.987,2.68,8888,34.8,406,0.895,1.24,68.8,5.67,38.2
56.1,2.79,31.1,12.52,87.27,39.5,0.263,214.7,212,0.9,98.895,2.69,8117,34.5,270,0.859,0.746,68,3.92,27.92
45.4,1.07,74.1,40.49,76,44.7,0.126,318.8,285,1.23,97.691,2.19,2891,26.4,856,0.808,1.316,69.8,3.51,102.89
67.5,2.36,98.6,21.18,105.11,41,0.218,266,177,1.17,98.995,2.66,8642,29.3,275,0.792,0.631,64.9,8.24,24.48
39.7,1.64,70.2,27.48,77.9,35.5,0.345,344.2,249,0.69,103.117,1.67,8212,33.5,847,0.903,1.119,76,3.65,86.44
48,2.89,97.3,37.93,148.06,47.4,0.363,387.3,80,1.15,99.071,2.26,9091,16.6,292,0.934,1.969,74.6,8.24,55.47
53.2,2.91,34.2,23.26,174.37,42.8,0.125,329.9,187,0.94,96.888,2.12,4548,15.6,1364,0.855,1.007,69.3,5.5,56.98
58.1,2.9,59.5,11.95,147.29,48,0.13,291.2,70,0.74,96.321,2.38,7852,15.9,1548,0.881,0.459,71.8,10.12,7.68
78.6,1.95,48.4,23.96,175.18,38.7,0.182,243.7,283,0.93,99.162,1.59,6102,26.2,1094,0.773,1.438,62.2,3.4,76.51
42.8,2.68,82.7,48.59,102.66,30.5,0.356,112.4,251,0.85,101.601,2.58,3026,31,1392,0.835,1.958,65.1,2.84,45.65
